os_name,fec_name,district,party,receipts
Paul Tonko,"TONKO, PAUL DAVID",NY-20,D,879783.31
Elise Stefanik,"STEFANIK, ELISE M.",NY-21,R,1976106.65
Tedra Cobb,"COBB, TEDRA LYNNE MS.",NY-21,D,453301.78
Tracy Mitrano,"MITRANO, TRACY",NY-23,D,193962.98
Tom Reed,"REED, THOMAS W",NY-23,R,2595369.08
Jim Maxwell,"MAXWELL, JAMES T. DR",NY-25,R,697708.23
Joseph D Morelle,"MORELLE, JOSEPH D",NY-25,D,862606.49
John Katko,"KATKO, JOHN M",NY-24,R,1929882.31
Dana Balter,"BALTER, DANA",NY-24,D,456545.58
Brian M Higgins,"HIGGINS, BRIAN",NY-26,D,831849.84
Renee Zeno,"REYNOLDS, THOMAS M",NY-26,R,864.73
Jill Schiller,"SCHILLER, JILL",OH-2,D,283196.51
Brad Wenstrup,"WENSTRUP, BRAD",OH-2,R,1040733.35
Joyce Beatty,"BEATTY, JOYCE",OH-3,D,748022.49
John Michael Galbraith,"GALBRAITH, JOHN MICHAEL",OH-5,D,108187.96
Robert E Latta,"LATTA, ROBERT EDWARD",OH-5,R,1240282.46
Bill Johnson,"JOHNSON, BILL",OH-6,R,1602744.29
Shawna Roberts,"ROBERTS, SHAWNA",OH-6,D,6150.43
Bob Gibbs,"GIBBS, ROBERT",OH-7,R,749833.39
Ken Harbaugh,"HARBAUGH, KENNETH",OH-7,D,1697195.93
Theresa Gasper,"GASPER, THERESA",OH-10,D,468529.11
Michael R Turner,"TURNER, MICHAEL R",OH-10,R,928149.52
Warren Davidson,"DAVIDSON, WARREN",OH-8,R,567428.79
Vanessa Enoch,"ENOCH, VANESSA L. DR.",OH-8,D,16960.91
Beverly Goldstein,"GOLDSTEIN, BEVERLY A.",OH-11,R,0.00
Marcia L Fudge,"FUDGE, MARCIA L",OH-11,D,423997.76
Troy Balderson,"BALDERSON, TROY",OH-12,R,1264722.56
Danny O'Connor,"O'CONNOR, DANIEL JAY",OH-12,D,1484371.05
Chris Depizzo,"DEPIZZO, CHRIS",OH-13,R,36196.25
Steve Stivers,"STIVERS, STEVE MR.",OH-15,R,3259497.24
Rick Neal,"NEAL, RICK",OH-15,D,921910.25
Tim Harris,"HARRIS, TIM",OK-1,R,360591.78
Steven Russell,"RUSSELL, STEVEN DANE",OK-5,R,698488.49
Kendra Horn,"HORN, KENDRA",OK-5,D,515806.89
Art Robinson,"ROBINSON, ART DR.",OR-4,R,70622.34
Peter DeFazio,"DEFAZIO, PETER A",OR-4,D,1167553.94
Scott Wallace,"WALLACE, HENRY SCOTT",PA-1,D,5381018.58
Brian Fitzpatrick,"FITZPATRICK, BRIAN",PA-1,R,2338452.33
Bryan Leib,"LEIB, BRYAN",PA-3,R,6818.00
Dwight Evans,"EVANS, DWIGHT",PA-3,D,953333.04
Keith Rothfus,"ROTHFUS, KEITH MR.",PA-17,R,2032587.95
Conor Lamb,"LAMB, CONOR",PA-17,D,7412231.37
Dan David,"DAVID, DAN",PA-4,R,333635.00
Madeleine Dean,"DEAN, MADELEINE",PA-4,D,743856.92
Greg McCauley,"MCCAULEY, GREGORY MICHAEL",PA-6,R,174293.26
Chrissy Houlahan,"HOULAHAN, CHRISSY",PA-6,D,2812010.00
Brendan Boyle,"BOYLE, BRENDAN F",PA-2,D,938372.08
David Torres,"JONES, JAMES",PA-2,R,0
Marty Nothstein,"NOTHSTEIN, MARTY MR.",PA-7,R,531252.65
Susan Wild,"WEIDMAN, DAVID WILLIAM",PA-7,D,11232.23
John Chrin,"CHRIN, JOHN R",PA-8,R,1646115.34
Matt Cartwright,"CARTWRIGHT, MATT",PA-8,D,1747809.79
John Joyce,"JOYCE, JOHN",PA-13,R,1113336.51
Brent Ottaway,"OTTAWAY, BRENT M",PA-13,D,10837.90
Tom Marino,"MARINO, THOMAS ANTHONY",PA-12,R,527354.17
Marc Friedenberg,"FRIEDENBERG, MARC",PA-12,D,82720.98
Scott Perry,"PERRY, SCOTT",PA-10,R,644267.86
George Scott,"SCOTT, GEORGE",PA-10,D,358230.31
Guy Reschenthaler,"RESCHENTHALER, GUY MR.",PA-14,R,436698.00
Bibiana Boerio,"BOERIO, BIBIANA",PA-14,D,205142.86
Mike Doyle,"DOYLE, MICHAEL",PA-18,D,567039.46
David Cicilline,"CICILLINE, DAVID N",RI-1,D,1308459.52
Jim Langevin,"LANGEVIN, JAMES R. HONORABLE",RI-2,D,830734.72
Salvatore Caiozzo,"CAIOZZO, SALVATORE",RI-2,R,3830.00
Katherine Arrington,"ARRINGTON, KATHERINE ELIZABETH",SC-1,R,714725.58
Joe Cunningham,"CUNNINGHAM, JOE",SC-1,D,791155.84
Jeff Duncan,"DUNCAN, JEFFREY D MR.",SC-3,R,573070.65
Mary Geren,"GEREN, MARY SMITH",SC-3,D,154751.74
William Timmons,"TIMMONS, WILLIAM R. IV",SC-4,R,1419169.42
Brandon Brown,"BROWN, BRANDON PENDARVIS",SC-4,D,30672.75
Ralph Norman,"NORMAN, RALPH W. JR.",SC-5,R,2159355.43
Archie Parnell,"PARNELL, ARCHIE",SC-5,D,1880484.58
Chuck Fleischmann,"FLEISCHMANN, CHARLES J",TN-3,R,908601.69
Danielle Mitchell,"MITCHELL, DANIELLE DR.",TN-3,D,179571.94
John Rose,"ROSE, JOHN W.",TN-6,R,2931945.00
Dawn Barlow,"BARLOW, DAWN",TN-6,D,15428.96
Jody Ball,"BALL, JODY",TN-5,R,0.00
Jim Cooper,"COOPER, JAMES H.S.",TN-5,D,382832.42
Scott Desjarlais,"DESJARLAIS, SCOTT HON.",TN-4,R,437434.66
Mariah Phillips,"PHILLIPS, MARIAH NICOLE",TN-4,D,293178.49
David Kustoff,"KUSTOFF, DAVID",TN-8,R,1435501.98
Erika Stotts Pearson,"TANNER, JOHN S.",TN-8,D,7.23
Charlotte Bergmann,"BERGMANN, CHARLOTTE",TN-9,R,40157.29
Steve Cohen,"COHEN, STEPHEN IRA",TN-9,D,390239.33
Dan Crenshaw,"HAVENS, JONATHAN MR.",TX-2,R,162155.00
Todd Litton,"LITTON, TODD CATLETT",TX-2,D,843045.04
John Lee Ratcliffe,"RATCLIFFE, JOHN L",TX-4,R,837165.94
Catherine Krantz,"KRANTZ, CATHERINE",TX-4,D,23481.02
Dan Wood,"WOOD, DANNY EUGENE JR",TX-5,D,81476.22
Lance Gooden,"GOODEN, LANCE",TX-5,R,595560.00
John Culberson,"CULBERSON, JOHN",TX-7,R,2024361.31
Lizzie Fletcher,"FLETCHER, ELIZABETH",TX-7,D,2321869.63
Steven David,"DAVID, STEVEN",TX-8,D,25044.48
Kevin Brady,"BRADY, KEVIN",TX-8,R,4258369.61
Michael McCaul,"MCCAUL, MICHAEL",TX-10,R,1385579.37
Mike Siegel,"SIEGEL, MICHAEL",TX-10,D,177679.62
Kay Granger,"GRANGER, KAY",TX-12,R,1671633.10
Vanessa Adia,"ADIA, VANESSA MICHELLE",TX-12,D,106715.19
Mac Thornberry,"THORNBERRY, MAC",TX-13,R,1131705.43
Greg Sagan,"SAGAN, GREGORY T. MR.",TX-13,D,21414.06
Vicente Gonzalez,"GONZALEZ, VICENTE",TX-15,D,985424.56
Tim Westley,"WESTLEY, TIMMY LEE",TX-15,R,7491.00
Bill Flores,"FLORES, BILL",TX-17,R,1072083.54
Rick Kennedy,"KENNEDY, RICHARD",TX-17,D,81777.57
Sheila Jackson Lee,"LEE, SHEILA JACKSON",TX-18,D,452824.59
Ava Pate,"PATE, AVA",TX-18,R,9693.41
David Smalling,"SMALLING, DAVID",TX-35,R,29478.00
Lloyd Doggett,"DOGGETT, LLOYD",TX-35,D,608321.58
Mary Jennings Hegar,"HEGAR, MARY JENNINGS MJ",TX-31,D,1618359.43
John Carter,"CARTER, JOHN R. REP.",TX-31,R,1015416.85
Will Hurd,"HURD, WILLIAM",TX-23,R,3057982.97
Gina Jones,"JONES, GINA ORTIZ",TX-23,D,2256366.75
Kenny Marchant,"MARCHANT, KENNY E MR.",TX-24,R,955162.82
Jan McDowell,"MCDOWELL, JAN",TX-24,D,61324.12
Michael Burgess,"BURGESS, MICHAEL C. DR.",TX-26,R,1379429.25
Linsey Fagan,"FAGAN, LINSEY",TX-26,D,94235.23
Michael Cloud,"CLOUD, MICHAEL",TX-27,R,415103.29
Eric Holguin,"HOLGUIN, ERIC",TX-27,D,100683.68
Henry Cuellar,"CUELLAR, HENRY R.",TX-28,D,1212620.79
Eddie Bernice Johnson,"JOHNSON, EDDIE BERNICE",TX-30,D,304430.77
Pete Sessions,"SESSIONS, PETE MR.",TX-32,R,2750175.94
Colin Allred,"ALLRED, COLIN",TX-32,D,1916601.47
Ben McAdams,"MCADAMS, BEN",UT-4,D,1677140.84
Mia Love,"LOVE, MIA",UT-4,R,3309541.85
