District,D Lite %,D Deluxe %,D Classic %,R Lite %,R Reluxe %,R Classic %
GA-12,0.03354,0.01268,0.01744,0.96646,0.98732,0.98256
GA-11,0.0026,0.0005,0.00054,0.9974,0.9995,0.99946
GA-10,0.00362,0.00014,0.00016,0.99638,0.9998599999999999,0.99984
GA-1,0.025780000000000004,0.00226,0.00264,0.97422,0.99774,0.99736
HI-2,0.99992,1.0,0.9999800000000001,8.0e-05,0.0,2.0e-05
HI-1,0.99908,0.99994,0.99992,0.00092,6.0e-05,8.0e-05
IA-4,0.10196,0.13052,0.15982,0.8980400000000001,0.86948,0.84018
IA-3,0.3054,0.52518,0.48234,0.6945999999999999,0.47482,0.51766
IA-2,0.9681799999999999,0.99256,0.9863199999999999,0.03182,0.0074399999999999996,0.01368
IA-1,0.5919,0.85496,0.83782,0.4081,0.14502,0.16216
ID-2,0.02514,0.00226,0.0026,0.97486,0.99774,0.9974
ID-1,0.07912,0.005620000000000001,0.00784,0.92088,0.99438,0.99216
IL-9,0.9999800000000001,0.9999800000000001,0.9999800000000001,2.0e-05,2.0e-05,2.0e-05
IL-8,0.9987,0.99984,0.99972,0.0013,0.00016,0.00028
IL-7,1.0,1.0,1.0,0.0,0.0,0.0
IL-6,0.4486,0.41961999999999994,0.3306,0.5514,0.58038,0.6694
IL-5,0.9999800000000001,1.0,1.0,2.0e-05,0.0,0.0
IL-4,0.9999800000000001,1.0,1.0,2.0e-05,0.0,0.0
IL-3,0.998,0.99996,0.99992,0.002,4.0e-05,8.0e-05
IL-2,1.0,1.0,1.0,0.0,0.0,0.0
IL-18,0.007040000000000001,0.00022000000000000003,0.00026,0.99296,0.9997799999999999,0.9997399999999999
IL-17,0.99256,0.9996,0.99934,0.0074399999999999996,0.0004,0.00066
IL-16,0.06668,0.01418,0.02004,0.93332,0.98582,0.97996
IL-15,0.0007599999999999999,0.00018,0.00022000000000000003,0.99924,0.99982,0.9997799999999999
IL-14,0.2807,0.25914,0.39008,0.7193,0.74086,0.60992
IL-13,0.335,0.30896,0.34548,0.665,0.69104,0.65452
IL-12,0.35438,0.48768,0.46546,0.6456000000000001,0.5123,0.53452
IL-11,0.9993,0.99982,0.9998,0.0006999999999999999,0.00018,0.0002
IL-10,0.99952,0.99976,0.99964,0.00048,0.00024,0.00036
IL-1,0.99996,0.99996,0.99996,2.0e-05,2.0e-05,2.0e-05
IN-9,0.01804,0.11262,0.24004,0.9819600000000002,0.88738,0.75996
IN-8,0.007020000000000001,0.00624,0.00776,0.99298,0.9937600000000001,0.99224
IN-7,0.99982,0.99996,0.99994,0.00018,4.0e-05,6.0e-05
IN-6,0.013919999999999998,0.00064,0.0008,0.98606,0.99934,0.99918
IN-5,0.09462,0.00722,0.01068,0.90538,0.9927800000000001,0.98932
IN-4,0.02352,0.00506,0.00658,0.97648,0.99494,0.99342
IN-3,0.03242,0.00292,0.00394,0.96758,0.99708,0.99606
IN-2,0.0347,0.07572,0.06792,0.9653,0.92428,0.93208
