Name,Party,District,Winner,Presumptive,Trimmed
Lisa Blunt Rochester,D,DE-1,X,,Lisa Blunt Rochester
Scott Walker,R,DE-1,X,,Scott Walker
Jennifer Zimmerman,D,FL-1,X,,Jennifer Zimmerman
Matt Gaetz,R,FL-1,X,,Matt Gaetz
Val Demings,D,FL-10,X,,Val Demings
Dana Cottrell,D,FL-11,X,,Dana Cottrell
Daniel Webster,R,FL-11,X,,Daniel Webster
Chris Hunter,D,FL-12,X,,Chris Hunter
Gus Bilirakis,R,FL-12,X,,Gus Bilirakis
Charlie Crist,D,FL-13,X,,Charlie Crist
George Buck,R,FL-13,X,,George Buck
Kathy Castor,D,FL-14,X,,Kathy Castor
Kristen Carlson,D,FL-15,X,,Kristen Carlson
Ross Spano,R,FL-15,X,,Ross Spano
David Shapiro,D,FL-16,X,,David Shapiro
Vern Buchanan,R,FL-16,X,,Vern Buchanan
April Freeman,D,FL-17,X,,April Freeman
Greg Steube,R,FL-17,X,,Greg Steube
Lauren Baer,D,FL-18,X,,Lauren Baer
Brian Mast,R,FL-18,X,,Brian Mast
David Holden,D,FL-19,X,,David Holden
Francis Rooney,R,FL-19,X,,Francis Rooney
Bob Rackleff,D,FL-2,X,,Bob Rackleff
Neal Dunn,R,FL-2,X,,Neal Dunn
Alcee Hastings,D,FL-20,X,,Alcee Hastings
Lois Frankel,D,FL-21,X,,Lois Frankel
Ted Deutch,D,FL-22,X,,Ted Deutch
Nicolas Kimaz,R,FL-22,X,,Nicolas Kimaz
Debbie Wasserman Schultz,D,FL-23,X,,Debbie Wasserman Schultz
Joe Kaufman,R,FL-23,X,,Joe Kaufman
Frederica Wilson,D,FL-24,X,,Frederica Wilson
Mary Barzee Flores,D,FL-25,X,,Mary Barzee Flores
Mario Diaz-Balart,R,FL-25,X,,Mario Diaz-Balart
Debbie Mucarsel-Powell,D,FL-26,X,,Debbie Mucarsel-Powell
Carlos Curbelo,R,FL-26,X,,Carlos Curbelo
Donna Shalala,D,FL-27,X,,Donna Shalala
Maria Salazar,R,FL-27,X,,Maria Salazar
Yvonne Hayes Hinson,D,FL-3,X,,Yvonne Hayes Hinson
Ted Yoho,R,FL-3,X,,Ted Yoho
Ges Selmont,D,FL-4,X,,Ges Selmont
John Rutherford,R,FL-4,X,,John Rutherford
Al Lawson,D,FL-5,X,,Al Lawson
Virginia Fuller,R,FL-5,X,,Virginia Fuller
Nancy Soderberg,D,FL-6,X,,Nancy Soderberg
Michael Waltz,R,FL-6,X,,Michael Waltz
Stephanie Murphy,D,FL-7,X,,Stephanie Murphy
Mike Miller,R,FL-7,X,,Mike Miller
Sanjay Patel,D,FL-8,X,,Sanjay Patel
Bill Posey,R,FL-8,X,,Bill Posey
Darren Soto,D,FL-9,X,,Darren Soto
Wayne Liebnitzky,R,FL-9,X,,Wayne Liebnitzky
Lisa Ring,D,GA-1,X,,Lisa Ring
Buddy Carter,R,GA-1,X,,Buddy Carter
Tabitha Johnson-Green,D,GA-10,X,,Tabitha Johnson-Green
Jody B Hice,R,GA-10,X,,Jody B Hice
Flynn Broady Jr.,D,GA-11,X,,Flynn Broady Jr.
Barry Loudermilk,R,GA-11,X,,Barry Loudermilk
Francys Johnson,D,GA-12,X,,Francys Johnson
Richard W Allen,R,GA-12,X,,Richard W Allen
David Scott,D,GA-13,X,,David Scott
David Callahan,R,GA-13,X,,David Callahan
Steven Foster,D,GA-14,X,,Steven Foster
Tom Graves,R,GA-14,X,,Tom Graves
Sanford Bishop,D,GA-2,X,,Sanford Bishop
Herman West Jr.,R,GA-2,X,,Herman West Jr.
Chuck Enderlin,D,GA-3,X,,Chuck Enderlin
Drew Ferguson,R,GA-3,X,,Drew Ferguson
Hank Johnson,D,GA-4,X,,Hank Johnson
Joe Profit,R,GA-4,X,,Joe Profit
John Lewis,D,GA-5,X,,John Lewis
Lucy McBath,D,GA-6,X,,Lucy McBath
Karen Handel,R,GA-6,X,,Karen Handel
Carolyn Bourdeaux,D,GA-7,X,,Carolyn Bourdeaux
Rob Woodall,R,GA-7,X,,Rob Woodall
Austin Scott,R,GA-8,X,,Austin Scott
Josh McCall,D,GA-9,X,,Josh McCall
Doug Collins,R,GA-9,X,,Doug Collins
Ed Case,D,HI-1,X,,Ed Case
Cam Cavasso,R,HI-1,X,,Cam Cavasso
Tulsi Gabbard,D,HI-2,X,,Tulsi Gabbard
Brian Evans,R,HI-2,X,,Brian Evans
Abby Finkenauer,D,IA-1,X,,Abby Finkenauer
Rod Blum,R,IA-1,X,,Rod Blum
David Loebsack,D,IA-2,X,,David Loebsack
Christopher Peters,R,IA-2,X,,Christopher Peters
Cindy Axne,D,IA-3,X,,Cindy Axne
David Young,R,IA-3,X,,David Young
J.D. Scholten,D,IA-4,X,,J.D. Scholten
Steven A. King,R,IA-4,X,,Steven A. King
Cristina McNeil,D,ID-1,X,,Cristina McNeil
Russ Fulcher,R,ID-1,X,,Russ Fulcher
Aaron Swisher,D,ID-2,X,,Aaron Swisher
Mike Simpson,R,ID-2,X,,Mike Simpson
Bobby L Rush,D,IL-1,X,,Bobby L Rush
Jimmy Lee Tillman,R,IL-1,X,,Jimmy Lee Tillman
Brad Schneider,D,IL-10,X,,Brad Schneider
